City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
117,Inongo,CD,2019-11-10 23:03:06,-1.93,18.29,72.84,89,84,0.83,light rain,0.31,0
118,Campbell River,CA,2019-11-10 23:02:18,50.02,-125.24,53.6,87,75,3.36,broken clouds,0,0
119,Ribeira Grande,PT,2019-11-10 23:03:07,38.52,-28.7,61.92,85,39,3.06,scattered clouds,0,0
120,Daman,IN,2019-11-10 23:03:07,20.42,72.83,74.84,78,0,3.42,clear sky,0,0
121,Lavrentiya,RU,2019-11-10 23:03:07,65.58,-170.99,34.63,89,100,12.64,light rain,0.25,0
122,Visnes,NO,2019-11-10 23:03:08,59.36,5.22,34.0,92,98,8.05,overcast clouds,0,0
123,Mandan,US,2019-11-10 23:03:08,46.83,-100.89,12.2,66,90,13.87,light snow,0,0
124,Nome,US,2019-11-10 23:03:08,30.04,-94.42,71.6,72,1,8.05,clear sky,0,0
125,Yokadouma,CM,2019-11-10 23:03:08,3.52,15.05,70.63,82,84,1.39,broken clouds,0,0
126,Bumbuna,SL,2019-11-10 23:03:09,9.05,-11.73,69.87,97,4,2.01,clear sky,0,0
127,Hedaru,TZ,2019-11-10 23:03:09,-4.5,37.91,67.68,94,54,1.66,light rain,0.13,0
128,Griffith,AU,2019-11-10 22:59:19,-34.29,146.06,68.0,45,87,5.82,overcast clouds,0,0
129,Khorixas,NA,2019-11-10 23:03:09,-20.37,14.96,69.62,34,100,2.42,overcast clouds,0,0
130,Port Hedland,AU,2019-11-10 23:03:09,-20.31,118.58,75.2,69,48,6.93,scattered clouds,0,0
131,Srednekolymsk,RU,2019-11-10 23:03:10,67.46,153.71,-3.88,95,76,5.59,broken clouds,0,0
132,Coihaique,CL,2019-11-10 23:03:10,-45.58,-72.07,66.2,48,20,5.82,few clouds,0,0
133,Kilemary,RU,2019-11-10 23:03:10,56.78,46.86,33.73,95,97,8.77,overcast clouds,0,0
134,Sistranda,NO,2019-11-10 23:03:10,63.73,8.83,24.8,68,1,5.82,clear sky,0,0
135,Lamu,CN,2019-11-10 23:03:11,35.77,102.37,27.55,52,43,1.99,scattered clouds,0,0
136,Hami,CN,2019-11-10 23:03:11,42.84,93.51,35.35,41,16,1.79,few clouds,0,0
137,Beloha,MG,2019-11-10 23:03:11,-25.17,45.06,64.74,86,9,10.78,clear sky,0,0
138,Georgetown,GY,2019-11-10 23:02:59,6.8,-58.16,84.2,79,75,4.7,broken clouds,0,0
139,Geraldton,CA,2019-11-10 23:03:12,49.72,-86.95,5.0,71,40,5.82,scattered clouds,0,0
140,Alofi,NU,2019-11-10 23:03:12,-19.06,-169.92,80.6,65,22,11.41,few clouds,0,0
141,Mbandaka,CD,2019-11-10 23:03:12,0.05,18.26,71.49,98,74,3.98,light rain,1.44,0
142,Saldanha,PT,2019-11-10 23:03:12,41.42,-6.55,43.14,91,95,3.22,overcast clouds,0,0
143,Cherskiy,RU,2019-11-10 23:03:13,68.75,161.3,12.04,54,75,0.49,broken clouds,0,0
144,Axim,GH,2019-11-10 23:03:13,4.87,-2.24,75.76,92,83,5.64,moderate rain,3.37,0
145,Devils Lake,US,2019-11-10 23:03:13,48.11,-98.87,12.2,66,75,13.87,broken clouds,0,0
146,Immokalee,US,2019-11-10 23:03:13,26.42,-81.42,80.6,60,75,11.41,broken clouds,0,0
147,Monrovia,LR,2019-11-10 23:01:00,6.33,-10.8,78.8,94,75,5.26,broken clouds,0,0
148,Pyapon,MM,2019-11-10 23:03:13,16.29,95.68,73.02,90,0,1.03,clear sky,0,0
149,Upernavik,GL,2019-11-10 23:03:14,72.79,-56.15,26.37,63,95,10.58,overcast clouds,0,0
150,Vardo,US,2019-11-10 23:03:14,39.62,-77.74,55.4,57,1,5.73,clear sky,0,0
151,Macamic,CA,2019-11-10 23:03:14,48.75,-79.0,12.2,78,40,4.7,scattered clouds,0,0
152,San Patricio,PY,2019-11-10 23:03:14,-26.98,-56.83,74.05,73,23,9.6,few clouds,0,0
153,Qaanaaq,GL,2019-11-10 23:03:14,77.48,-69.36,-0.73,37,0,5.32,clear sky,0,0
